name,perf,gem5,% difference
CCa,0.44083757717147,0.578252,23.763760925778037
CCe,0.4553614600917859,0.598063,23.860620019665838
CCh,0.7579564448629319,0.646365,-17.26446278231834
CCh_st,0.5042537109054062,0.592861,14.945710561935059
CCl,0.5199873856411676,0.706567,26.406499929777688
CCm,0.4461303031289682,0.532197,16.17196204996117
CF1,0.3964688466430434,0.306983,-29.150098423379593
CRd,1.4485086926641877,0.771546,-87.74106698293915
CRf,0.5231969704519408,0.627712,16.650156369172365
CRm,0.3109888595725189,0.472578,34.19311530106799
CS1,0.4019856961823769,0.254256,-58.10273747025712
CS3,0.4355022696108563,0.477843,8.860803734520273
DP1d,0.3772523417096466,0.436461,13.565624028344658
DP1f,0.4102392873907504,0.430467,4.699015861668747
DPT,0.5063675148755323,0.463232,-9.311859905086944
DPTd,0.4584946654083682,0.419223,-9.367726820419724
DPcvt,0.4137734379932237,0.26457,-56.39469251737675
ED1,0.4008384344203983,0.229318,-74.79588798977764
EF,0.4284218348512666,0.476423,10.075324900085295
EI,0.4404950780246259,0.446087,1.2535496383831213
EM1,0.4133071120666277,0.342513,-20.66902922418351
EM5,0.4469258620889099,0.471887,5.2896430524871665
MC,0.4925708599543527,0.104985,-369.18213073710785
MCS,0.3024661190201089,0.611749,50.55715350248077
MD,0.5714266988098827,0.56421,-1.2790802732817104
MI,0.5282760610205325,0.628301,15.919907652457582
MIM,0.4527210535817975,0.122404,-269.8580549506532
MIM2,0.4643452568956625,0.136613,-239.89829437583717
MIP,0.400147369739117,0.339498,-17.864426223163907
ML2,0.4973387042242637,0.228723,-117.44149220859452
ML2_BW_ld,0.561076124196151,0.225708,-148.58495232608107
ML2_BW_ldst,0.2509817596745181,0.230077,-9.085984115977727
ML2_BW_st,0.2282312446627163,0.372688,38.76077451844001
ML2_st,0.2300280507641145,0.244378,5.872029902808561
MM,0.2482713746387213,0.596736,58.395106941977474
MM_st,0.2291950007005701,0.596965,61.60662673681537
M_Dyn,0.3435639528484109,0.381286,9.893373255663494
STL2,0.2396562717939639,0.213638,-12.178672237131925
STL2b,0.2162102971215403,0.372548,41.964445622700886
STc,0.4430491078670291,0.549995,19.444884432216817
