Benchmark,IPC
cactusADM,0.5247157065453343
gobmk,0.8263117184305948
perlbench,0.7234775456299387
astar,0.5343483200969424
bzip2,0.7840654244015115
zeusmp,0.4304557111849724
omnetpp,0.3405860944068183
mcf,0.14097363169318308
h264ref,1.1390788966086078
GemsFDTD,0.3370614439202896
lbm,0.1811525322988325
milc,0.34570224329873483
hmmer,1.0653645905730773
libquantum,0.37850637193091813
sjeng,0.7725039303195296
