perf,gem5,% difference
1.0987699974447884,0.999979,-9.879307209930255
1.2204108025682463,0.916661,-33.13654694246252
1.2032883066264684,0.81395,-47.83319695638165
0.998056424780348,0.85156,-17.203300387564934
0.9439880297388176,0.999999,5.601102627220867
1.0614764419151077,0.941175,-12.78204817543047
1.995348698055952,0.999999,-99.53506934066455
1.995194647553985,0.999999,-99.51966427506278
1.8855514987952384,0.999999,-88.55533843486228
1.8780525791672733,0.999999,-87.80544572217306
1.8780990552731276,0.941175,-99.54833641704546
1.885425477598455,0.666666,-182.8141044538727
1.0292259450597052,0.799561,-28.7238803618117
