perf,gem5,% difference
7976118471,2000049803,-298.795992931582
4513289700,6000047771,24.779103896237963
49932507169,10750052053,-364.48618967445293
2007922287,12800049644,84.31316797321008
11568530869,32000049166,63.84839657905418
32080915934,34000048944,5.644500727516364
17055568732,34000048936,49.8366347527777
16053695929,34000048936,52.78331522634371
18048272745,34000048943,46.916921280738876
17055811503,34000048185,49.83591961341804
17055326008,34000048936,49.83734864586784
18049807764,51000048316,64.60825359975723
33089753061,75041217334,55.90456253698385
