perf,gem5,% difference
8763919672,2000007752,-338.1942851589507
5508067505,5500007581,-0.14654387073653016
60083201997,8750008948,-586.6644634773006
2004019739,10900007501,81.6145104595924
10920554662,32000007302,65.87327446854218
34053136499,32000007301,-6.416027279893276
34031806864,34000007298,-0.0935281152185828
32030248191,34000007296,5.793407889155766
34030947725,34000007300,-0.09100123046150052
32031710783,34000007383,5.789106389971398
32031591663,32000007299,-0.09870111498689256
34031567424,34000007386,-0.09282362101190397
34056832366,60000005113,43.23861756034914
